price,Ram,ROM,ROM_type,display_size,resolution_width,resolution_height,warranty,gen,P_brand_amd,P_brand_intel,P_brand_apple,P_brand_other,P_type_ryzen5,P_type_i3,P_type_i5,P_type_m1,P_type_i7,P_type_other,P_type_ryzen3,P_type_i9,P_type_m2,P_type_ryzen7,P_type_ryzen9,brand_HP,brand_Acer,brand_Lenovo,brand_Apple,brand_Dell,brand_Asus,brand_Samsung,brand_other,brand_MSI,brand_Infinix,brand_LG
37729,16,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50712,16,512,1,15.6,1920.0,1080.0,1,5.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44990,16,512,1,14.0,1920.0,1080.0,1,11.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23990,8,512,1,14.0,1920.0,1200.0,1,10.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
49990,16,512,1,15.6,1920.0,1080.0,1,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
72990,16,512,1,15.6,1920.0,1080.0,1,13.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52101,16,512,1,15.6,1920.0,1080.0,1,11.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28990,8,512,1,14.0,1920.0,1080.0,1,11.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
69490,16,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39965,8,512,1,15.6,1920.0,1080.0,1,13.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
54990,16,512,1,14.0,1920.0,1080.0,1,13.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46999,8,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
83990,16,512,1,15.6,2880.0,1620.0,1,13.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
51499,8,512,1,15.6,1920.0,1080.0,1,5.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50990,16,512,1,14.0,1920.0,1080.0,1,5.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23990,4,128,0,15.6,1366.0,768.0,1,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27990,8,512,1,15.6,1920.0,1080.0,1,7.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
79990,16,1024,1,14.0,1920.0,1080.0,1,13.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
84390,16,512,1,15.6,1920.0,1080.0,1,13.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24990,8,256,1,15.6,1920.0,1080.0,1,10.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
281990,32,1024,1,16.0,2880.0,1800.0,1,13.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26590,8,512,1,15.6,1366.0,768.0,1,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37990,16,1024,1,14.0,1920.0,1080.0,1,11.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
71189,16,512,1,15.6,1920.0,1080.0,1,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
85999,16,512,1,16.1,1920.0,1080.0,1,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
93990,16,1024,1,14.0,2880.0,1800.0,1,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
84990,16,512,1,14.0,3840.0,2400.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44190,8,1024,1,15.6,1920.0,1080.0,1,13.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
159990,16,1024,1,16.0,2560.0,1600.0,1,13.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
52990,16,512,1,15.6,1920.0,1080.0,1,5.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39990,8,512,1,15.6,1920.0,1080.0,1,11.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
73990,16,1024,1,14.0,1920.0,1200.0,1,13.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
57500,16,512,1,15.6,1920.0,1080.0,1,11.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
59990,8,512,1,15.6,1920.0,1080.0,1,5.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53990,16,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33990,8,512,1,14.0,1920.0,1080.0,1,11.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
75990,16,512,1,16.0,2560.0,1600.0,1,13.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
144990,8,512,1,15.3,2880.0,1864.0,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
60539,16,512,1,15.6,1920.0,1080.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
